summ_NER
"[2, ['Justice', 'Sodje']]"
"[1, ['winner']]"
"[1, ['Vogue']]"
"[0, []]"
"[5, ['police', 'Friday', 'night', 'incident', 'officers']]"
"[1, ['Accident']]"
"[2, ['waste', 'money']]"
"[1, ['funding']]"
"[1, ['knock']]"
"[3, ['Labour', 'Party', 'headline']]"
"[0, []]"
"[1, ['story']]"
"[0, []]"
"[1, ['Accident']]"
"[1, ['winner']]"
"[1, ['winner']]"
"[0, []]"
"[1, ['messages']]"
"[1, ['winner']]"
"[0, []]"
"[3, ['Wars', 'Star', 'Story']]"
"[1, ['offences']]"
"[2, ['disaster', 'Afghanistan']]"
"[2, ['tourists', 'destination']]"
"[1, ['damage']]"
"[1, ['winner']]"
"[1, ['waste']]"
"[1, ['display']]"
"[0, []]"
"[0, []]"
"[1, ['name']]"
"[1, ['people']]"
"[0, []]"
"[0, []]"
"[1, ['waste']]"
"[1, ['winner']]"
"[1, ['complaint']]"
"[1, ['Growth']]"
"[1, ['story']]"
"[3, ['cases', 'Wales', 'England']]"
"[4, ['World', 'winner', 'Series', 'Skyrunner']]"
"[3, ['England', 'Wales', 'murder']]"
"[1, ['murder']]"
"[3, ['complaint', 'force', 'police']]"
"[1, ['Accident']]"
"[1, ['pricing']]"
"[0, []]"
"[1, ['price']]"
"[1, ['issues']]"
"[1, ['Accident']]"
"[2, ['Hoard', 'Nature']]"
"[1, ['murder']]"
"[1, ['jet']]"
"[1, ['read']]"
"[0, []]"
"[7, ['National', 'Scotland', 'Rights', 'Action', 'Human', 'journey', 'Plan']]"
"[1, ['journey']]"
"[4, ['winner', 'event', 'road', 'cycling']]"
"[0, []]"
"[1, ['Accident']]"
"[6, ['amendment', 'Councillor', 'Unionist', 'Ulster', 'Rodgers', 'Jim']]"
"[5, ['education', 'HIV', 'spread', 'availability', 'medicines']]"
"[2, ['day', 'Norway']]"
"[0, []]"
"[2, ['winner', 'Scotland']]"
"[1, ['Landscapes']]"
"[6, ['Research', 'Manufacturing', 'Campus', 'AMRC', 'Centre', 'British']]"
"[2, ['waste', 'time']]"
"[1, ['Warnings']]"
"[1, ['read']]"
"[0, []]"
"[1, ['read']]"
"[1, ['Accident']]"
"[2, ['size', 'places']]"
"[1, ['story']]"
"[0, []]"
"[1, ['murder']]"
"[1, ['improvement']]"
"[1, ['mistake']]"
"[1, ['Congratulations']]"
"[2, ['income', '%']]"
"[0, []]"
"[1, ['winner']]"
"[6, ['Coilte', 'police', 'Cresent', 'incident', 'officer', 'Highland']]"
"[1, ['winner']]"
"[4, ['community', 'remark', 'Philippines', 'transgender']]"
"[6, ['Howard', 'tracks', 'Lamar', 'Kendrick', 'artists', 'Ben']]"
"[0, []]"
"[0, []]"
"[1, ['knock']]"
"[0, []]"
"[1, ['winner']]"
"[1, ['Congratulations']]"
"[0, []]"
"[1, ['read']]"
"[1, ['winner']]"
"[5, ['rights', 'Urdu', 'transgender', 'worker', 'BBC']]"
"[2, ['changes', 'product']]"
"[2, ['complaint', 'murder']]"
"[1, ['Suicide']]"
"[0, []]"
"[0, []]"
"[2, ['Accident', 'Accidental']]"
"[2, ['club', 'winner']]"
"[2, ['book', 'beginner']]"
"[0, []]"
"[0, []]"
"[1, ['read']]"
"[1, ['cards']]"
"[1, ['content']]"
"[0, []]"
"[1, ['Stars']]"
"[1, ['journey']]"
"[2, ['murder', 'Crime']]"
"[2, ['environment', 'recruitment']]"
"[3, ['welfare', 'approach', 'safety']]"
"[5, ['dish', 'bronze', 'treasure', 'jugs', 'hunter']]"
"[5, ['Landscape', 'officials', 'impact', 'Planning', 'opposition']]"
"[1, ['milestone']]"
"[2, ['Changes', 'Scotland']]"
"[0, []]"
"[7, ['Broadland', 'Councillor', 'Clancy', 'Stuart', 'Council', 'Conservative', 'District']]"
"[1, ['dispute']]"
"[1, ['journey']]"
"[4, ['Chief', 'Department', 'Minister', 'headline']]"
"[0, []]"
"[3, ['KFC', 'Iranian', 'headline']]"
"[4, ['sister', 'Ayadi', 'Abderrezak', 'Bilel']]"
"[1, ['Light']]"
"[1, ['journey']]"
"[0, []]"
"[1, ['murder']]"
"[2, ['captain', 'opportunity']]"
"[0, []]"
"[1, ['Suicide']]"
"[2, ['Accident', 'Accidental']]"
"[1, ['murder']]"
"[6, ['kick', 'half', 'Ward', 'Rotherham', 'Danny', 'United']]"
"[0, []]"
"[0, []]"
"[0, []]"
"[1, ['damage']]"
"[1, ['Accident']]"
"[4, ['setback', 'executive', 'McEwan', 'Ross']]"
"[3, ['Aviva', 'official', 'BBC']]"
"[2, ['hub', 'migrants']]"
"[2, ['year', 'growth']]"
"[1, ['murder']]"
"[0, []]"
"[1, ['headline']]"
"[1, ['content']]"
"[4, ['pounds', 'Foods', 'Premier', 'stake']]"
"[2, ['Accident', 'Accidental']]"
"[1, ['product']]"
"[2, ['Good', 'Accident']]"
"[0, []]"
"[1, ['story']]"
"[1, ['Accident']]"
"[1, ['read']]"
"[0, []]"
"[1, ['conclusion']]"
"[1, ['read']]"
"[2, ['assembly', 'permission']]"
"[1, ['winner']]"
"[1, ['document']]"
"[0, []]"
"[2, ['crisis', 'country']]"
"[7, ['month', 'analysis', 'head', 'rugby', 'review', 'assistant', 'department']]"
"[1, ['Accident']]"
"[1, ['earthquake']]"
"[1, ['Accident']]"
"[4, ['price', 'year', 'changes', 'quarter']]"
"[1, ['read']]"
"[4, ['London', 'Little', 'MH2', 'Missenden']]"
"[1, ['Suicide']]"
"[1, ['satisfaction']]"
"[2, ['Accident', 'Accidental']]"
"[0, []]"
"[2, ['transcript', 'Officials']]"
"[1, ['conclusion']]"
"[1, ['Sticky-bot']]"
"[1, ['Justice']]"
"[2, ['win', 'Samsung']]"
"[3, ['music', 'examples', 'lessons']]"
"[2, ['improvements', 'road']]"
"[0, []]"
"[1, ['messages']]"
"[0, []]"
"[1, ['screenshots']]"
"[1, ['Cute']]"
"[0, []]"
"[0, []]"
"[1, ['Congratulations']]"
"[0, []]"
"[2, ['page', 'listings']]"
"[1, ['shame']]"
"[1, ['explanation']]"
"[0, []]"
"[0, []]"
